strategy,R,P_max,loop_rate,ci_lo,ci_hi,n
lt_dual_eps0.05,3,90,0.0,0.0,0.0,150
lt_dual_eps0.05,3,120,0.0,0.0,0.0,150
lt_dual_eps0.05,4,30,0.0,0.0,0.0,150
lt_dual_eps0.05,4,45,0.0,0.0,0.0,150
lt_dual_eps0.05,4,60,0.0,0.0,0.0,150
lt_dual_eps0.05,4,90,0.0,0.0,0.0,150
lt_dual_eps0.05,4,120,0.0,0.0,0.0,150
lt_dual_eps0.05,5,30,0.0,0.0,0.0,150
lt_dual_eps0.05,5,45,0.0,0.0,0.0,150
lt_dual_eps0.05,5,60,0.0,0.0,0.0,150
lt_dual_eps0.05,5,90,0.0,0.0,0.0,150
lt_dual_eps0.05,5,120,0.0,0.0,0.0,150
lt_dual_eps0.05,6,30,0.0,0.0,0.0,150
lt_dual_eps0.05,6,45,0.0,0.0,0.0,150
lt_dual_eps0.05,6,60,0.0,0.0,0.0,150
lt_dual_eps0.05,6,90,0.0,0.0,0.0,150
lt_dual_eps0.05,6,120,0.0,0.0,0.0,150
lt_dual_eps0.05,7,30,0.0,0.0,0.0,150
lt_dual_eps0.05,7,45,0.0,0.0,0.0,150
lt_dual_eps0.05,7,60,0.0,0.0,0.0,150
lt_dual_eps0.05,7,90,0.0,0.0,0.0,150
lt_dual_eps0.05,7,120,0.0,0.0,0.0,150
